dataset,epoch,folds,val_auc_mean,val_auc_sd,ratio_mean,ratio_sd,cosine_mean,cosine_sd,net_to_linear_mean,objective_mean
cora,0,10,0.5763434486547442,0.024939913141552833,0.0024337018975323617,0.0004689178283976201,-0.0011825933264360568,0.0178126731247912,0.9999985417428758,3.999996444171336
cora,1,10,0.5775607569865113,0.023839245401523254,0.003684861917894419,0.0007070892108326864,0.03792869092396302,0.018622872179417153,0.9998554963964417,3.9999866355244427
cora,10,10,0.5831311714785525,0.02481086211921479,0.04547551447005314,0.0013385958290612987,0.8185868021531318,0.014025830209144717,0.9631154774359503,3.999977854666998
cora,20,10,0.5903034596423253,0.02511612191255832,0.048818999611412006,0.0009071832382199441,0.8583767005466131,0.002942448498480804,0.9584231536108871,3.999976383213299
cora,30,10,0.5978473015368155,0.025406958904664212,0.05005342942599909,0.0009150977076429937,0.8586925460322187,0.002963637304994888,0.9573640182974618,3.9999747819662117
cora,40,10,0.6053680116815336,0.02536678810535319,0.051352697760797116,0.000925075645203748,0.8589360330901019,0.00299953283143582,0.9562535848098518,3.999973030100486
cora,50,10,0.6130014891063916,0.025416011021748005,0.05272313488981815,0.0009375731841422535,0.8591332725305374,0.0030551665633016265,0.9550853954846303,3.9999711089328733
cora,60,10,0.6207665283580794,0.025131084690422002,0.05417145677828409,0.0009531440464330192,0.8593036962410789,0.0031307070609720637,0.9538529264844892,3.9999689969429255
cora,70,10,0.6286371062181034,0.025030490919929822,0.05570560858041511,0.0009723252365877808,0.8594719195757815,0.0032219612869666325,0.952548221845418,3.999966669274938
cora,80,10,0.6367202070291605,0.024710206141555096,0.057335109510419015,0.0009955284836052664,0.8596688891441386,0.0033193319107844834,0.9511614757139311,3.9999640971484283
cora,90,10,0.6448076450432998,0.024598699915659928,0.059071508611522314,0.0010228602795690264,0.8599330235978637,0.0034073459880369244,0.9496804969951137,3.9999612471596513
cora,100,10,0.6527909901834636,0.02448360466573776,0.06092898871265908,0.0010538476606018388,0.860311203122652,0.0034649605524611714,0.9480900268226502,3.999958080456115
cora,110,10,0.6609507149156414,0.024351842694104387,0.06292516784852156,0.0010870479643404244,0.8608593563359758,0.003466911089610979,0.9463708750640573,3.999954551764822
cora,120,10,0.6692579045526175,0.02420423047001826,0.0650821625699178,0.001119525651325081,0.861642264084983,0.003386740101779703,0.9444988377368979,3.999950608254968
cora,130,10,0.6775058190808021,0.024107996238219832,0.06742799539175764,0.001146193450866486,0.8627320470104598,0.0032030202784453176,0.9424433543315276,3.99994618821781
cora,140,10,0.685682892625309,0.02408324222955672,0.0699984472795723,0.0011590609717128074,0.8642046579752393,0.002912339885548829,0.9401658642545232,3.9999412195520763
cora,150,10,0.6940883921988175,0.023906203778036355,0.07283947088882008,0.001146591202119635,0.8661336327182549,0.0025573751846238923,0.9376178275029445,3.999935618054553
cora,160,10,0.7023406439300843,0.023769377399897776,0.07601028176544715,0.0010939332608896034,0.8685804943281713,0.0022806823356911975,0.9347383901548563,3.999929285535522
cora,170,10,0.7103514580231028,0.023161085651908064,0.07958721648864832,0.0009871178632287255,0.8715817548790907,0.002342080768931806,0.9314517059683531,3.999922107811622
cora,180,10,0.7183029970073298,0.02261004263859324,0.08366836473344766,0.0008354462066972177,0.8751336123063661,0.0028795482532318188,0.9276639790799901,3.9999139526797207
cora,190,10,0.7259494860414347,0.022102816992195504,0.088378818562141,0.0007695544441704766,0.8791772301441064,0.0037143299624976174,0.9232603793733374,3.99990466805034
cora,200,10,0.7329931038470991,0.02169241660690327,0.09387611743991005,0.0011274100189433956,0.8835894537702778,0.004570758657604596,0.9181021127264202,3.999894080523441
