dataset,epoch,folds,val_auc_mean,val_auc_sd,ratio_mean,ratio_sd,cosine_mean,cosine_sd,net_to_linear_mean,objective_mean
cora,210,10,0.7399138342320982,0.020920773026121837,0.10035511134733946,0.002028393476818676,0.8881847683530077,0.0052148658645482905,0.9120241129028874,3.9998819948247437
cora,220,10,0.7465381890731397,0.02049138620947144,0.10805107478724305,0.0034435431110566516,0.8927326481108219,0.005477748130913543,0.904834063170226,3.9998681946804453
cora,230,10,0.7525307579985253,0.020146971921680162,0.11723958120350533,0.005421963717098561,0.8969895143791501,0.005285187695651386,0.896313739311085,3.999852445868979
cora,240,10,0.7577729907906722,0.019815977703628147,0.12823148928122563,0.008043231513913838,0.9007381294986041,0.004698476290519784,0.8862239438946167,3.9998345023001596
cora,250,10,0.7627405340542729,0.0194513886044639,0.14136145386968232,0.011378771075869366,0.9038233386651682,0.003959967202893667,0.8743144743603274,3.999814115950162
cora,260,10,0.7675403721320244,0.019238699543902407,0.15696868612991638,0.015467483579432747,0.9061744484287386,0.003518775949184738,0.8603404675019419,3.999791051208832
cora,270,10,0.7722115398516677,0.019165451226965675,0.1753693465071418,0.020294669930982397,0.9078100132847376,0.0037824705393573314,0.8440858652477342,3.999765103555186
cora,280,10,0.7765111538405933,0.019342503311639028,0.19682115442302858,0.02577337056700516,0.9088265910289358,0.004620550237732196,0.8253934298163955,3.999736121415
cora,290,10,0.780560655785106,0.019385327986058576,0.22148269492016323,0.031730900516511576,0.9093765595016358,0.005633717444914171,0.8041986228361362,3.9997040286873835
cora,300,10,0.7841345111249259,0.0195761671832184,0.24937235822334114,0.03790516613046972,0.9096413003918535,0.00657110945471077,0.7805620264000732,3.9996688441274997
cora,310,10,0.7875536728881436,0.019538955977428087,0.2803342477535952,0.0439557302986111,0.9098056909402258,0.007332082118474801,0.7546926268441962,3.9996306931417203
cora,320,10,0.7905116453902761,0.019438785369733216,0.3140196834325759,0.04949273383509005,0.910038258253147,0.007894596461023577,0.7269534888689531,3.9995898081922645
cora,330,10,0.793372753690237,0.019375007476095708,0.34989198373632974,0.05412236020739382,0.9104789256930532,0.008272534197701579,0.697843413104928,3.999546516134046
cora,340,10,0.7961051916320896,0.019208386992719814,0.3872584551658192,0.057501688290139824,0.9112338373892518,0.00849344980122829,0.6679535250122943,3.9995012139310093
cora,350,10,0.798414029406237,0.019062225779308262,0.42532750329528685,0.059391063757440146,0.9123751608040322,0.008587216080626573,0.637905139313317,3.999454337213989
cora,360,10,0.8003860110743253,0.018894811472635664,0.4632822700367953,0.05969118927443488,0.9139434178978559,0.008580337580265546,0.6082817843251103,3.999406327841556
cora,370,10,0.8020037878240253,0.018773821472937723,0.5003575415046047,0.058455942848491114,0.9159505472205772,0.008493029941813455,0.579570741804581,3.99935760635753
cora,380,10,0.8033382006390145,0.01866350352020257,0.53590570264814,0.055878913163470434,0.918382965449231,0.008337849490271613,0.552126357999269,3.9993085532313417
cora,390,10,0.8046249042200986,0.01873168365187448,0.5694406632037683,0.05225865590109057,0.9212047862477203,0.008119851475848202,0.5261600775649629,3.999259499946368
cora,400,10,0.8059448596914802,0.018649932409694734,0.600654727754012,0.04795198899491165,0.9243617162913346,0.00783860096795467,0.5017540831702447,3.999210728479439
cora,410,10,0.8069959085717591,0.01878595119292177,0.6294100670335848,0.04332530046852697,0.9277859630103513,0.00749181616340801,0.47888996214526774,3.9991624762673403
cora,420,10,0.807964550593474,0.01867715025619463,0.6557115312590615,0.03871167201425102,0.9314020007052862,0.00707957091886303,0.457482478998181,3.999114943552788
cora,430,10,0.8086180225245414,0.018584451503482747,0.6796697691580543,0.034378368352668345,0.9351325845924425,0.006607593467260962,0.43741061849184826,3.9990683006924335
cora,440,10,0.8091341496913357,0.018621809355639608,0.7014630270940362,0.03050663392284847,0.9389042132659806,0.006088562367420864,0.41854164590252096,3.999022694040618
cora,450,10,0.8094984747502494,0.01876702149981842,0.7213036074862953,0.02718471277460241,0.9426513659347824,0.005541117859123803,0.4007471801765889,3.9989782499495568
cora,460,10,0.8097630441382699,0.01888203642047294,0.7394120439196038,0.024414920710118485,0.9463191670742841,0.004987109315964352,0.38391228632668833,3.998935077042823
cora,470,10,0.8100030360421575,0.018867080763002236,0.7559995783944009,0.022134221210983213,0.9498644868707737,0.0044480927328733166,0.36793937409905414,3.998893267217005
cora,480,10,0.810256039555292,0.01879925795784527,0.7712579455565785,0.020243708487534793,0.9532557447934179,0.003942178848929437,0.35274868522692177,3.998852895893843
cora,490,10,0.8105047058653444,0.018747730366535518,0.7853547650775308,0.01863826248310999,0.9564718051164671,0.0034820444918752923,0.33827680785797204,3.998814021981267
cora,500,10,0.8104280819442236,0.018596780356299362,0.7984327653876601,0.017227916715909036,0.9595003611374896,0.0030744013459763834,0.32447424846146833,3.9987766878811177
cora,510,10,0.810312423195362,0.018462626235613244,0.8106113211135814,0.015947519432264756,0.9623361444142443,0.002720694445319661,0.3113027356239178,3.9987409197502415
cora,520,10,0.8100276135262907,0.018207791777264788,0.8219891641454286,0.014756722015723499,0.9649792047028681,0.0024184878495615804,0.29873265522651454,3.9987067281059483
cora,530,10,0.8097283465136116,0.017917355661653336,0.8326474975393159,0.01363470743413322,0.9674334106572037,0.0021629705727930952,0.2867408171801732,3.998674108779544
cora,540,10,0.8095967846867816,0.017518138236598303,0.8426530460636853,0.012573529927245234,0.9697052370337722,0.0019482069412596554,0.27530861807972545,3.9986430441666223
cora,550,10,0.8095042576876924,0.017155685227419396,0.852060801868016,0.011572300281695529,0.9718028410185975,0.0017680027235977697,0.26442058114224115,3.998613504696789
cora,560,10,0.8093712501265017,0.01690011483162812,0.8609163734779706,0.010633023578184115,0.9737353917556091,0.0016164314577493599,0.2540632145418874,3.9985854504407454
cora,570,10,0.8092122193468173,0.016746672217541825,0.8692579348536027,0.009758060177092798,0.9755126006283094,0.0014881262608691201,0.2442241202839241,3.9985588327803647
cora,580,10,0.8089852390521767,0.016365532813735813,0.8771178150875727,0.008948836809629537,0.9771443990629173,0.001378427037157895,0.23489129553126933,3.998533596079858
cora,590,10,0.8086498286804783,0.01633905450423137,0.8845237842025243,0.008205379724262631,0.9786407185796928,0.0012834357000918778,0.22605258540982467,3.998509679308931
cora,600,10,0.8083317671211091,0.016391090489936557,0.8915000893022208,0.007526315835575018,0.9800113388702542,0.0012000057756161597,0.21769526266124956,3.9984870175797504
