epoch,alpha,lr,objective,val_auc,val_ap,linear_norm,cubic_norm,cubic_to_linear_ratio,linear_cubic_cosine,net_norm,net_to_linear_ratio,z_norm,w_norm,dataset,fold,split_seed,init_seed,embedding_dim,run_seconds
0,0.000327275821516858,600.0,3.999997280059065,0.5803900591305353,0.5732192993948928,583.5724862331937,1.3089256818681296,0.0022429530396761836,-0.007670035237836655,583.5839935552608,1.0000197187536057,2.946470764551771,5.651041327595303,cora,0,10000,110000,16,2.2295600729994476
1,0.000327275821516858,600.0,3.9999869325280475,0.5780190547788749,0.5695501057497283,387.63540281358974,1.3159069880103629,0.0033947028018056708,0.02915043030711886,387.59927543168965,0.9999068006130558,2.9513333869071245,5.654706754133113,cora,0,10000,110000,16,2.2295600729994476
10,0.000327275821516858,600.0,3.9999776667092553,0.584365828622649,0.5787938764836564,31.166784601643563,1.3968078441681515,0.04481719439529516,0.8123797222227389,30.043089753581523,0.9639457562778939,3.00580681915141,5.69415208482424,cora,0,10000,110000,16,2.2295600729994476
20,0.000327275821516858,600.0,3.9999761511331196,0.5911318654310458,0.5904079188312106,31.057972021182618,1.4974318385954726,0.048214089367270084,0.8536734975586424,29.789864158591907,0.9591696501714337,3.0704005734228192,5.740975541382066,cora,0,10000,110000,16,2.2295600729994476
30,0.000327275821516858,600.0,3.999974494825549,0.5970738336538044,0.5987358921638811,32.57598205507968,1.6083687398879747,0.049372839694242665,0.8533956118587909,31.21466820467266,0.9582111186055634,3.1383226365176373,5.790554503575205,cora,0,10000,110000,16,2.2295600729994476
40,0.000327275821516858,600.0,3.9999726737767025,0.6036374676516937,0.6097985976581881,34.218545496816006,1.7310147605289044,0.05058703505354934,0.853043816712788,32.75437234820716,0.9572111225842407,3.209828719739029,5.843118829897703,cora,0,10000,110000,16,2.2295600729994476
50,0.000327275821516858,600.0,3.9999706657952214,0.6102011016495829,0.61982259936818,35.999084394622194,1.8670088045171132,0.0518626747294723,0.8526537681300244,34.42099713268012,0.9561631277994999,3.2852021335195443,5.898925231707351,cora,0,10000,110000,16,2.2295600729994476
60,0.000327275821516858,600.0,3.9999684449743373,0.6171550839248796,0.6329933597100502,37.93322170318207,2.0182918128125946,0.05320644338108745,0.8522638815678244,36.22849203757197,0.9550597183927803,3.3647577808816638,5.958260764279835,cora,0,10000,110000,16,2.2295600729994476
70,0.000327275821516858,600.0,3.9999659809767607,0.6238488340152382,0.6434815383318271,40.03859571127567,2.1871809496740506,0.05462681472262767,0.8519245699882497,38.1924602511909,0.9538911036391604,3.448846453740894,6.021447224917644,cora,0,10000,110000,16,2.2295600729994476
80,0.000327275821516858,600.0,3.9999632381779273,0.6312654512859808,0.6557438306286746,42.33510010243429,2.3764677230401836,0.05613469006309343,0.8517003522123086,40.3302933692272,0.9526443370074419,3.537859685016294,6.088846222838963,cora,0,10000,110000,16,2.2295600729994476
90,0.000327275821516858,600.0,3.999960174640556,0.6382049762176698,0.6665208283549424,44.84513908192579,2.589549751979751,0.057744268498064105,0.8516716789915107,42.66128438500374,0.9513023096453675,3.6322352048768014,6.160864996340343,cora,0,10000,110000,16,2.2295600729994476
100,0.000327275821516858,600.0,3.999956740892756,0.6455203920831586,0.6790953747584625,47.59389262566137,2.830610220812223,0.059474232189321546,0.8519358697515972,45.20670060420422,0.9498424715911966,3.732463013392831,6.237963042284248,cora,0,10000,110000,16,2.2295600729994476
110,0.000327275821516858,600.0,3.999952878481478,0.653500845754601,0.6901525672188911,50.60958428553102,3.10486545641119,0.061349357048539374,0.8526063227476891,47.989790602118546,0.9482352261849846,3.8390920425817128,6.32065959876889,cora,0,10000,110000,16,2.2295600729994476
120,0.000327275821516858,600.0,3.9999485182758643,0.6615535861440819,0.7002250132575287,53.92374009396973,3.4189102536790923,0.0634026914253566,0.8538088152186097,51.03568923769658,0.9464419409477104,3.952737318186383,6.409541976486885,cora,0,10000,110000,16,2.2295600729994476
130,0.000327275821516858,600.0,3.999943578503181,0.6684786537321632,0.7115391429291817,57.57142180197384,3.7812034178183094,0.06567847899995186,0.8556733736034591,54.37117164374407,0.944412521732787,4.07408743539324,6.505274657237948,cora,0,10000,110000,16,2.2295600729994476
140,0.000327275821516858,600.0,3.9999379625170928,0.6751145744480909,0.7200896181941607,61.59141053407374,4.202753162799586,0.06823602717256376,0.8583200372016452,58.0241906628702,0.9420825105275016,4.203912020295656,6.608608955003231,cora,0,10000,110000,16,2.2295600729994476
150,0.000327275821516858,600.0,3.999931556329033,0.6827046798421258,0.728746091135226,66.02630746699111,4.698083318808173,0.07115471846062134,0.861837191509859,62.02311247007483,0.9393696974661558,4.343068644616632,6.72039284727924,cora,0,10000,110000,16,2.2295600729994476
160,0.000327275821516858,600.0,3.9999242259851684,0.6899478089895763,0.736899959360458,70.92250586236241,5.286584426156222,0.0745402938302232,0.8662525292038985,66.39554316136119,0.9361702939573711,4.4925083775044525,6.8415803092879965,cora,0,10000,110000,16,2.2295600729994476
170,0.000327275821516858,600.0,3.9999158149527725,0.6974367129783574,0.7446189866826656,76.32997339545538,5.994372193428951,0.07853235009493467,0.8714997014316666,71.16661779986875,0.9323548094424718,4.6532787785110115,6.973239096340917,cora,0,10000,110000,16,2.2295600729994476
180,0.000327275821516858,600.0,3.9999061418005386,0.7054171666497998,0.7526675443124508,82.30176535732343,6.856776283456391,0.08331262705832417,0.8773885598228635,76.35660893137467,0.9277639258388064,4.826522650533391,7.116555398187535,cora,0,10000,110000,16,2.2295600729994476
190,0.000327275821516858,600.0,3.9998949986262247,0.7135421937573191,0.7593114326840228,88.89316904617685,7.921543833504882,0.08911307717457931,0.8835924366233802,81.9777151526885,0.9222048896704761,5.0134702892119165,7.272833125709573,cora,0,10000,110000,16,2.2295600729994476
200,0.000327275821516858,600.0,3.9998821509041136,0.7209298963408464,0.7656598526650531,96.16036029561475,9.252738331175022,0.09622195988794542,0.8896686512466343,88.0299304314387,0.9154492574780128,5.215422331805862,7.443484810493596,cora,0,10000,110000,16,2.2295600729994476
210,0.000327275821516858,600.0,3.9998673396798443,0.7291850395408348,0.7723839798125762,104.15844017884173,10.935123881783982,0.10498548041818019,0.8951228569894731,94.49599875433827,0.9072332361360934,5.433719734598063,7.630010292076352,cora,0,10000,110000,16,2.2295600729994476
220,0.000327275821516858,600.0,3.9998502872847794,0.7373823533663924,0.7795631152078143,112.93872304295832,13.078544277270531,0.11580212636454076,0.899510502021074,101.33566090308861,0.8972623221934583,5.669697103905333,7.833958733785811,cora,0,10000,110000,16,2.2295600729994476
230,0.000327275821516858,600.0,3.9998307078774307,0.743468895025228,0.7847707695003123,122.54518062990664,15.821457285759372,0.12910713586967623,0.902545080724687,108.4797343608019,0.8852223629129636,5.92461591394106,8.056869396563249,cora,0,10000,110000,16,2.2295600729994476
240,0.000327275821516858,600.0,3.999808323977977,0.7494686926224174,0.7888671744924314,133.01002999934266,19.33240476946946,0.14534546582363,0.9041693486092531,115.82504508253908,0.8707993305701193,6.199575542301664,8.300187536722554,cora,0,10000,110000,16,2.2295600729994476
250,0.000327275821516858,600.0,3.9997828895141283,0.7552082580346687,0.7929395171268848,144.34860480562654,23.80783605824314,0.16493291424812676,0.9045576157300803,123.23180131354387,0.8537096806684233,6.495403081395794,8.565154428213443,cora,0,10000,110000,16,2.2295600729994476
260,0.000327275821516858,600.0,3.999754218517054,0.7605863898567278,0.7965584849408993,156.55388102160984,29.464452357099365,0.18820646390128298,0.9040509013359241,130.5254992876983,0.8337417024473591,6.812527936515272,8.852675417141658,cora,0,10000,110000,16,2.2295600729994476
270,0.000327275821516858,600.0,3.9997222164334465,0.76525611184201,0.799327394850624,169.59132527633463,36.5243349140995,0.21536676392254264,0.9030584057187268,137.50555326914272,0.8108053465888607,7.1508541560752805,9.163177182728516,cora,0,10000,110000,16,2.2295600729994476
280,0.000327275821516858,600.0,3.999686908406896,0.7694631988318468,0.802277047409156,183.39503711097828,45.1919520469303,0.24641862047544494,0.9019669922194251,143.9620918245997,0.784983574759897,7.50965105939848,9.496474011765322,cora,0,10000,110000,16,2.2295600729994476
290,0.000327275821516858,600.0,3.9996484568134916,0.7736992005088985,0.8050479331975512,197.86634811737048,55.624093583321795,0.28111952392393,0.9010851979257087,149.70036257596126,0.7565731313096349,7.8874884028624574,9.851670313123742,cora,0,10000,110000,16,2.2295600729994476
300,0.000327275821516858,600.0,3.9996071603373387,0.7773424510980353,0.8074222520656011,212.8759614392204,67.89683391420769,0.3189502161501376,0.900625858209385,154.5690019517579,0.7260989024159494,8.282242275615332,10.227128772064857,cora,0,10000,110000,16,2.2295600729994476
310,0.000327275821516858,600.0,3.9995634302991903,0.7811013604360335,0.8098083328070638,228.27022784610395,81.97692362001776,0.35912227535552843,0.9007161620666028,158.48503444341554,0.6942869244878642,8.691188676243566,10.620526386720282,cora,0,10000,110000,16,2.2295600729994476
320,0.000327275821516858,600.0,3.9995177467492473,0.7847301536815625,0.8126221172100119,243.88125425722168,97.70682303858743,0.4006327724374256,0.9014196392576753,161.44683358625997,0.6619895164881426,9.11118270553435,11.029002704116955,cora,0,10000,110000,16,2.2295600729994476
330,0.000327275821516858,600.0,3.9994706045889292,0.7877083664647457,0.8147217966459874,259.539446122966,114.81103652924917,0.44236449697458846,0.9027576356692594,163.52849015889913,0.6300718160638353,9.538897106669436,11.449379756318523,cora,0,10000,110000,16,2.2295600729994476
340,0.000327275821516858,600.0,3.9994224645701903,0.7907877806531828,0.8170979874841291,275.08621932739004,132.9258469149227,0.4832152160872982,0.9047235189993535,164.85552517256966,0.5992867457179639,9.971073946275785,11.878410820061053,cora,0,10000,110000,16,2.2295600729994476
350,0.000327275821516858,600.0,3.9993737221894476,0.7935346759386432,0.8192575213374552,290.38441810930436,151.64670709865973,0.5222274255830697,0.9072882625732654,165.57001864928512,0.5701752860133235,10.404737583157772,12.313005908103788,cora,0,10000,110000,16,2.2295600729994476
360,0.000327275821516858,600.0,3.9993246996671865,0.795790021541442,0.8217199811776681,305.32462005476407,170.58106942226837,0.5586875679782141,0.9104000035332622,165.79814844147427,0.5430225325810154,10.837329932067572,12.750391338433303,cora,0,10000,110000,16,2.2295600729994476
370,0.000327275821516858,600.0,3.999275656713642,0.7980742818314563,0.8236744133926357,319.8267555161255,189.39274415033162,0.5921729213826907,0.9139822168199849,165.63127355878694,0.5178781033859936,11.266755133561375,13.188184775333289,cora,0,10000,110000,16,2.2295600729994476
380,0.000327275821516858,600.0,3.999226809852928,0.7994332721305787,0.8254007256760578,333.8377696500296,207.82783283947927,0.6225414010444364,0.9179350515837478,165.12408809480243,0.4946237457430479,11.691347991584797,13.624394244479372,cora,0,10000,110000,16,2.2295600729994476
390,0.000327275821516858,600.0,3.999178350138725,0.8008356344605243,0.8272084540470199,347.3268806020889,225.71962328532075,0.6498766317597914,0.9221422936120239,164.3051389200852,0.4730562133148557,12.109797395275615,14.057367928556484,cora,0,10000,110000,16,2.2295600729994476
400,0.000327275821516858,600.0,3.9991304536054257,0.8028741199092078,0.8300693254185337,360.2801131170675,242.9768224212772,0.674410864144271,0.9264832609929554,163.19108760210113,0.4529561351310964,12.521057846143734,14.485725617932358,cora,0,10000,110000,16,2.2295600729994476
410,0.000327275821516858,600.0,3.999083284158985,0.8047246598909916,0.831767958262309,372.6953530669118,259.5632639211852,0.6964488872352119,0.9308462709904956,161.7975882120468,0.4341282682507675,12.924272632993144,14.908295089309114,cora,0,10000,110000,16,2.2295600729994476
420,0.000327275821516858,600.0,3.9990369919344717,0.8068498894013215,0.8339882554195978,384.57851535976585,275.4770618071756,0.716309026128181,0.9351395118286343,160.14399587497095,0.4164143067772762,13.31871868935429,15.324064441431153,cora,0,10000,110000,16,2.2295600729994476
430,0.000327275821516858,600.0,3.998991710666376,0.8076739579869595,0.8350481091794151,395.9408611894844,290.73433600660985,0.7342872749561301,0.9392964731806762,158.25301374899553,0.3996885122529973,13.703772333339845,15.732151062379042,cora,0,10000,110000,16,2.2295600729994476
440,0.000327275821516858,600.0,3.9989475562912657,0.8084980265725976,0.8361937862720449,406.7971964146906,305.35911878528805,0.7506421417762276,0.9432755236916587,156.1480884278346,0.38384750387673927,14.07888979731217,16.131782537562305,cora,0,10000,110000,16,2.2295600729994476
450,0.000327275821516858,600.0,3.998904627287309,0.8091341496913358,0.8371575633926931,417.16462177784086,319.37845292921753,0.7655933323590922,0.9470553080311706,153.8510206858937,0.36880169758936643,14.443596041706071,16.52228407529279,cora,0,10000,110000,16,2.2295600729994476
460,0.000327275821516858,600.0,3.9988630061367862,0.8095244979687433,0.8382521174151276,427.06158835436764,332.82061464608955,0.779326972319321,0.9506284663136843,151.38096698250473,0.3544710437804387,14.797477465548045,16.903068808299423,cora,0,10000,110000,16,2.2295600729994476
470,0.000327275821516858,600.0,3.9988227610109446,0.8096256993739971,0.8388355881160642,436.5071315088652,345.71456327703413,0.7920020964652049,0.9539957910270763,148.7548084164194,0.34078437138523193,15.140176560981159,17.273629514082035,cora,0,10000,110000,16,2.2295600729994476
480,0.000327275821516858,600.0,3.9987839470491893,0.8091630643785511,0.8384564963191817,445.5202472698585,358.0894769674505,0.8037557869969266,0.9571619531662702,145.98825465914575,0.3276804040978151,15.471388125002468,17.63353170780839,cora,0,10000,110000,16,2.2295600729994476
490,0.000327275821516858,600.0,3.998746607039319,0.8094522112507048,0.838919022564183,454.11941675448605,369.973995554301,0.8147064007930821,0.960132989371273,143.09700973373828,0.3151087675493556,15.79085716512479,17.98240849133349,cora,0,10000,110000,16,2.2295600729994476
500,0.000327275821516858,600.0,3.9987107716316395,0.8092642657838047,0.8393059934386374,462.32228756091064,381.39526598437857,0.8249553963675826,0.9629151764452446,140.0975861074223,0.30303013693443137,16.09837849183237,18.319957330506664,cora,0,10000,110000,16,2.2295600729994476
510,0.000327275821516858,600.0,3.998676459352619,0.8095823273431739,0.8397629028038477,470.1455060547103,392.3780449688932,0.8345885261386133,0.9655147473058814,137.00765100361784,0.29141542190488234,16.393797642216548,18.64593852316824,cora,0,10000,110000,16,2.2295600729994476
520,0.000327275821516858,600.0,3.9986436766641957,0.8096112420303894,0.8398266729276161,477.60467771065476,402.94406878140353,0.8436769729996603,0.9679379815358524,133.84598386119748,0.28024429011619695,16.677012527843306,18.960174809708274,cora,0,10000,110000,16,2.2295600729994476
530,0.000327275821516858,600.0,3.998612418224392,0.8097269007792509,0.8399890111262348,484.71442253310374,413.11177990109354,0.8522787041123785,0.9701913756485684,130.63219399729942,0.26950341876484574,16.947975145217622,19.262551470389262,cora,0,10000,110000,16,2.2295600729994476
540,0.000327275821516858,600.0,3.998582667409721,0.8101027917130507,0.840163783642401,491.4884906148791,422.89639105063225,0.8604400695559842,0.9722817580425763,127.38633259347785,0.2591847724330443,17.20669279420901,19.55301631935832,cora,0,10000,110000,16,2.2295600729994476
550,0.000327275821516858,600.0,3.9985543970924295,0.8098425595281123,0.8399324586385462,497.93990697659564,432.3102039335035,0.8681975432706643,0.9742163187272024,124.12848414883035,0.2492840650240646,17.453228434993253,19.83157916395058,cora,0,10000,110000,16,2.2295600729994476
560,0.000327275821516858,600.0,3.9985275706311665,0.8100594196822276,0.8403765857449675,504.08112188504816,441.36308205695275,0.8755794710312564,0.9760025735939599,120.87837541132951,0.23979944926184898,17.68770000324077,20.098310475100924,cora,0,10000,110000,16,2.2295600729994476
570,0.000327275821516858,600.0,3.9985021430230896,0.8101317064002661,0.8402390511665666,509.9241503861315,450.0629885959954,0.8826077138240909,0.9776482947267396,117.65501020740524,0.23073041376509223,17.910278653968216,20.353339165345,cora,0,10000,110000,16,2.2295600729994476
580,0.000327275821516858,600.0,3.9984780621669938,0.8095534126559586,0.8397079476946229,515.4806913506402,458.41652426352977,0.8892991181927816,0.9791614312860103,114.47632757962207,0.22207684885281764,18.12118600440324,20.596849479040756,cora,0,10000,110000,16,2.2295600729994476
590,0.000327275821516858,600.0,3.9984552701919727,0.808570313290636,0.8392418702505569,520.7622213714459,466.4294246885242,0.895666785236774,0.9805500337010054,111.35888222510803,0.2138382502706138,18.32069050197352,20.82907706796853,cora,0,10000,110000,16,2.2295600729994476
600,0.000327275821516858,600.0,3.9984337048101417,0.8078619034538594,0.8390521231574186,525.7800623883753,474.10699604705167,0.9017211377194547,0.9818221844312818,108.31755309839629,0.2060130477492049,18.509103068899325,21.050304365112225,cora,0,10000,110000,16,2.2295600729994476
0,0.000327275821516858,600.0,4.000005254258131,0.62458615853923,0.6300438725338957,694.6894392022441,1.3022892253167415,0.0018746351273343708,-0.022819678128419906,694.720376992857,1.0000445347069742,2.9485817582438476,5.643757174767731,cora,1,10001,110001,16,1.9533249780070037
1,0.000327275821516858,600.0,3.9999905526711697,0.6274342552299441,0.6335803185385233,459.80488645302904,1.3081233554583291,0.0028449531399052656,0.014756505381148782,459.78744356766725,0.9999620645933184,2.952803951560597,5.647079947266453,cora,1,10001,110001,16,1.9533249780070037
10,0.000327275821516858,600.0,3.999978040123451,0.6320461478407958,0.6407535501337492,31.093584449543144,1.3870163038007475,0.04460779702164981,0.8039730525823466,29.98980527276357,0.9645013852111286,3.005931726638614,5.685714021519752,cora,1,10001,110001,16,1.9533249780070037
20,0.000327275821516858,600.0,3.9999765892615398,0.6395350518295768,0.6509738035139914,30.36217164384899,1.4853075780091907,0.04891967529305817,0.8610262070844705,29.093090692380223,0.9582019044502087,3.069322938486154,5.731767412374482,cora,1,10001,110001,16,1.9533249780070037
30,0.000327275821516858,600.0,3.9999750132994705,0.64757333487545,0.6615084555347045,31.76973197148205,1.593420740578852,0.050155309525720226,0.8612404067338769,30.408197716368885,0.9571436656646856,3.13586486971471,5.780445514091924,cora,1,10001,110001,16,1.9533249780070037
40,0.000327275821516858,600.0,3.9999732896076643,0.6548164640229005,0.6738582177476896,33.28461703930757,1.71262836157197,0.0514540503665533,0.8613688643885218,31.821306969484592,0.9560364456621244,3.2057816846547733,5.831952297432991,cora,1,10001,110001,16,1.9533249780070037
50,0.000327275821516858,600.0,3.9999713997352946,0.6626089722274429,0.686247337412071,34.917264266024326,1.8444145224120851,0.0528224235541489,0.8614420816163475,33.34156833664685,0.9548734426221736,3.2793199556172747,5.886513634319232,cora,1,10001,110001,16,1.9533249780070037
60,0.000327275821516858,600.0,3.999969322390952,0.6688545446659631,0.6964442491134814,36.6799657568963,1.9905177834129641,0.054267165803957206,0.8614817408019196,34.979777377447974,0.9536480379857315,3.3567512653717464,5.944379655026133,cora,1,10001,110001,16,1.9533249780070037
70,0.000327275821516858,600.0,3.9999670329359027,0.6760398444389828,0.7076579800842991,38.5865146066796,2.1529869836184767,0.055796358016895864,0.8615153435094266,36.747945666934925,0.9523520339039275,3.438375309216933,6.005827920272077,cora,1,10001,110001,16,1.9533249780070037
80,0.000327275821516858,600.0,3.9999645027838047,0.683297430930041,0.7182772690229384,40.65238310730785,2.3342526174080973,0.05741982238154402,0.8615774082779377,38.659407332721756,0.9509751797496018,3.5245233728502146,6.071167038273245,cora,1,10001,110001,16,1.9533249780070037
90,0.000327275821516858,600.0,3.999961698688445,0.6913501713195218,0.728785595662836,42.8949150453567,2.537219165336995,0.059149648918855824,0.8617106593204774,40.72891756218399,0.9495045629328697,3.6155622220804733,6.140740775469729,cora,1,10001,110001,16,1.9533249780070037
100,0.000327275821516858,600.0,3.9999585819010224,0.6985788431233646,0.73892855265528,45.33353001170815,2.7653859081165737,0.06100089508587498,0.8619670168553404,42.97273345814739,0.9479238313682821,3.711898420086973,6.214932705435887,cora,1,10001,110001,16,1.9533249780070037
110,0.000327275821516858,600.0,3.999955107177379,0.7052870505573305,0.7483172592069551,47.9899362980526,3.0230068214235652,0.06299251581932683,0.8624081070996507,45.408663632579774,0.9462122089631202,3.8139830688674707,6.294171429645939,cora,1,10001,110001,16,1.9533249780070037
120,0.000327275821516858,600.0,3.9999512216157918,0.7123277768942735,0.756981672702356,50.88834686645388,3.315304498765584,0.06514859890155061,0.8631048706612576,48.05606740751085,0.944343260621616,3.922316940969899,6.3789363828396075,cora,1,10001,110001,16,1.9533249780070037
130,0.000327275821516858,600.0,3.9999468633084394,0.7198455955702701,0.7659717695060005,54.0556900072709,3.6487591390459198,0.0675000011757344,0.8641356825075622,50.935777220229916,0.9422833602416077,4.037455920486156,6.469764199723897,cora,1,10001,110001,16,1.9533249780070037
140,0.000327275821516858,600.0,3.999941959796045,0.7269875233124665,0.7738756829626784,57.52180240221757,4.0315019789525195,0.07008650304040365,0.8655822334946566,54.069908457445095,0.9399898160242733,4.160016602072167,6.567255561770352,cora,1,10001,110001,16,1.9533249780070037
150,0.000327275821516858,600.0,3.9999364263277966,0.7338403041825096,0.7817519613248473,61.31958708612575,4.473853584669973,0.07295961693914003,0.867522329326132,57.48150922109678,0.9374086152987586,4.2906817950962095,6.6720823537234235,cora,1,10001,110001,16,1.9533249780070037
160,0.000327275821516858,600.0,3.9999301639506752,0.7408376584886293,0.7889681509799691,65.48511191800135,4.98906118846049,0.07618619014819208,0.8700188639433261,61.193988493138086,0.93447177077079,4.43020553675536,6.784994827333764,cora,1,10001,110001,16,1.9533249780070037
