dataset,metric,checkpoints,mean,sd,min,q10,median,q90,max
cora,cubic_to_linear_ratio,209,0.7553816961080617,0.11683780551902097,0.30247340677798473,0.5957681652009542,0.7857740124974576,0.8756597859452547,0.9017211377194547
cora,linear_cubic_cosine,209,0.9534404822316159,0.019397230283362384,0.9041484995107752,0.926479043238568,0.9568224192961584,0.9768819148980762,0.9818221844312818
cora,net_to_linear_ratio,209,0.358365962016011,0.10644766923863683,0.2060130477492049,0.23660444598804292,0.3403056896340209,0.5102161427421704,0.7294558690243125
