epoch,alpha,lr,objective,val_auc,val_ap,linear_norm,cubic_norm,cubic_to_linear_ratio,linear_cubic_cosine,net_norm,net_to_linear_ratio,z_norm,w_norm,dataset,fold,split_seed,init_seed,embedding_dim,run_seconds,best_val_auc_in_split,useful_auc_threshold
400,0.000327275821516858,600.0,3.9991304536054257,0.8028741199092078,0.8300693254185337,360.2801131170675,242.9768224212772,0.674410864144271,0.9264832609929554,163.19108760210113,0.4529561351310964,12.521057846143734,14.485725617932358,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
410,0.000327275821516858,600.0,3.999083284158985,0.8047246598909916,0.831767958262309,372.6953530669118,259.5632639211852,0.6964488872352119,0.9308462709904956,161.7975882120468,0.4341282682507675,12.924272632993144,14.908295089309114,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
420,0.000327275821516858,600.0,3.9990369919344717,0.8068498894013215,0.8339882554195978,384.57851535976585,275.4770618071756,0.716309026128181,0.9351395118286343,160.14399587497095,0.4164143067772762,13.31871868935429,15.324064441431153,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
430,0.000327275821516858,600.0,3.998991710666376,0.8076739579869595,0.8350481091794151,395.9408611894844,290.73433600660985,0.7342872749561301,0.9392964731806762,158.25301374899553,0.3996885122529973,13.703772333339845,15.732151062379042,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
440,0.000327275821516858,600.0,3.9989475562912657,0.8084980265725976,0.8361937862720449,406.7971964146906,305.35911878528805,0.7506421417762276,0.9432755236916587,156.1480884278346,0.38384750387673927,14.07888979731217,16.131782537562305,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
450,0.000327275821516858,600.0,3.998904627287309,0.8091341496913358,0.8371575633926931,417.16462177784086,319.37845292921753,0.7655933323590922,0.9470553080311706,153.8510206858937,0.36880169758936643,14.443596041706071,16.52228407529279,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
460,0.000327275821516858,600.0,3.9988630061367862,0.8095244979687433,0.8382521174151276,427.06158835436764,332.82061464608955,0.779326972319321,0.9506284663136843,151.38096698250473,0.3544710437804387,14.797477465548045,16.903068808299423,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
470,0.000327275821516858,600.0,3.9988227610109446,0.8096256993739971,0.8388355881160642,436.5071315088652,345.71456327703413,0.7920020964652049,0.9539957910270763,148.7548084164194,0.34078437138523193,15.140176560981159,17.273629514082035,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
480,0.000327275821516858,600.0,3.9987839470491893,0.8091630643785511,0.8384564963191817,445.5202472698585,358.0894769674505,0.8037557869969266,0.9571619531662702,145.98825465914575,0.3276804040978151,15.471388125002468,17.63353170780839,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
490,0.000327275821516858,600.0,3.998746607039319,0.8094522112507048,0.838919022564183,454.11941675448605,369.973995554301,0.8147064007930821,0.960132989371273,143.09700973373828,0.3151087675493556,15.79085716512479,17.98240849133349,cora,0,10000,110000,16,2.2295600729994476,0.8101317064002661,0.8020303893362635
